logFC	AveExpr	t	P.Value	adj.P.Val	B
2231	0.988853349460338	1.45509407312837	9.19443281042573	2.06755423424679e-06	0.00478050527588223	5.31534455212512
2230	0.989460079138475	1.7565430588192	8.60947837543696	3.86936714888386e-06	0.00478050527588223	4.75453280731608
2054	1.01068147737476	1.95663750509091	8.46896546946397	4.52011747454915e-06	0.00478050527588223	4.61385084960497
2232	0.880792107150349	1.23147317091479	8.35634545998905	5.12717284900352e-06	0.00478050527588223	4.49936391463776
246	-1.17564198593496	1.85384605300461	-8.23091140146963	5.90873138261966e-06	0.00478050527588223	4.3700069743556
839	1.23633306465326	3.45377984124787	8.14298280152412	6.53294164170459e-06	0.00478050527588223	4.27815387325594
247	-1.19507543712433	1.814170349974	-8.0694783287616	7.10950104817238e-06	0.00478050527588223	4.20061665213411
29	-2.31095398513084	3.73664031685862	-7.82639437730024	9.44272065750989e-06	0.00478050527588223	3.93923510624787
4261	-1.08031145882154	2.12567000146135	-7.81098727996529	9.61619966962249e-06	0.00478050527588223	3.92240797845832
4500	1.48415961112795	1.73139485692678	7.72535586336036	1.06451991555124e-05	0.00478050527588223	3.82831064583724
4197	1.11218724547039	2.0728155545716	7.70789338044045	1.08692761543416e-05	0.00478050527588223	3.80900183715424
572	1.27210664747987	1.26661994186409	7.53349359298512	1.3408185489476e-05	0.00525392393277697	3.61390908489735
648	1.52126071235326	2.08538164543128	7.49109522534558	1.41176128826169e-05	0.00525392393277697	3.56585523969183
301	-0.956664434962274	1.47864972122421	-7.23238785544664	1.94247337509508e-05	0.0067126329919357	3.26724595303922
4172	1.04446815201508	2.16095901696853	7.12729646271131	2.21634314208844e-05	0.00703558351128246	3.14325819406668
399	-1.10673150942188	1.01853217532385	-7.08881919444455	2.3267742079479e-05	0.00703558351128246	3.09746833380375
4735	-0.823645640421092	1.13187601384321	-7.02352620692274	2.52794403453045e-05	0.00719423131709313	3.0192795682647
2711	1.09057261213296	2.80546350251367	6.89676944036165	2.97393059992942e-05	0.00799326457914364	2.86572435458974
470	-1.03494328259256	1.82253894948245	-6.7851352291715	3.43711682160902e-05	0.00875198483312864	2.72854171048214
3281	1.02935457795439	1.72725867704061	6.68612704971408	3.91307993440948e-05	0.00898403112305504	2.60533219100021
218	1.63577147394847	1.85687637178229	6.65596590194053	4.07178348801352e-05	0.00898403112305504	2.56750823392381
636	1.26292960341005	1.46109862516	6.6534485036335	4.08533866695351e-05	0.00898403112305504	2.56434510598897
20	-1.10879246160833	2.92148558438188	-6.59903988873223	4.39046376090635e-05	0.00923524507620214	2.49574803893533
809	1.94288707395638	3.36757862781554	6.52846202523492	4.82321244946181e-05	0.00972279242937343	2.40610122463824
2712	0.968347162113294	2.28285655790797	6.41316308084728	5.63167099448925e-05	0.0105475376828002	2.25802670149977
4053	-1.00727592503826	1.14362190050318	-6.40835782442527	5.66837494321629e-05	0.0105475376828002	2.25181152749769
959	1.75687129133384	3.16016752823139	6.37758183709769	5.9096167407736e-05	0.0105891577006899	2.21192180919746
227	0.827554487292892	1.37769760720832	6.34431230090013	6.18283655558678e-05	0.0106830583056889	2.16863698229118
3783	0.751038134293763	1.47513295492241	6.3065731178031	6.50924158740861e-05	0.0107330072030911	2.11933131123093
256	-1.16439284603782	1.18023520195068	-6.2903220381034	6.65544059720409e-05	0.0107330072030911	2.09803204424105
4179	0.877445090467709	2.90729647542608	6.2588016178564	6.94913132991892e-05	0.010845128185209	2.05660418687841
4690	-0.751832388503118	1.2649536414664	-6.20588570484524	7.47383923067905e-05	0.0112995106868829	1.98671080995245
837	2.05836241353153	3.96286752782319	6.16190556774038	7.94223809772516e-05	0.011628091593474	1.92829017622581
4260	-1.06023728529508	2.16189726740925	-6.13466683483228	8.24802248272691e-05	0.011628091593474	1.89195725848423
21	-1.03943759566949	2.80796465859054	-6.12048290076511	8.41222004488613e-05	0.011628091593474	1.87299205874991
4790	0.897948217271831	1.99783571795904	6.06893763458779	9.03900986332413e-05	0.0121474249218784	1.80380751819494
1820	1.39664524245513	2.13056446777122	6.00585994471497	9.87478669215749e-05	0.012763231514103	1.71857969770349
30	-1.99713078755846	3.99662854242791	-5.99514001175362	0.0001002486146209	0.012763231514103	1.704033516423
3835	0.626434565375873	1.33411862530421	5.95582713905256	0.000105964396954079	0.0131450192939444	1.65053465860678
4788	-0.863511626449282	1.33485367161688	-5.89539300960491	0.00011544090200054	0.0132196678589142	1.56781996319872
28	-1.52203907028806	3.28087304460393	-5.88723236804583	0.000116788396930817	0.0132196678589142	1.55660671012965
3806	0.636282871679409	1.36721335925798	5.88032625402718	0.000117941871260501	0.0132196678589142	1.54710907616597
