PC1	PC2	PC3	PC4	PC5	PC6	sample	group	sample_simple
8.133203890728721	13.355884005335035	-13.801978465379564	-16.443537412976386	31.077603338517182	36.10207871409399	Ballerino2022_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Ballerino2022_iPSC
65.17101111453444	-54.95733135712311	15.157431261709911	33.16073222007551	-14.68259890852482	31.982582538437246	Our_data_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Our
69.09024529416017	23.86852751276259	13.501380950887823	21.186754381002654	38.33793012427777	-34.24312420005445	Li2022_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Li2022
24.053111650846375	15.08348196280552	-5.168400945151863	-26.16966914383145	-4.930889843667043	-1.48224246762355	Rajarajan_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Rajarajan_iPSC
38.43046380608912	16.04196431855597	-14.296241527039708	-31.448312788355405	-31.38774832045401	-23.811120047632667	Rahman2023_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Rahman2023_iPSC
-34.86791286524404	27.183594473037193	75.39145594698564	-10.114437939142158	-20.142057760287052	9.326200490111852	Wu2021_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Wu2021
-16.66107550153306	59.11929582922845	-35.65317245043797	28.029897076419267	-18.34090341951304	20.208506740706362	Zaghi2023_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Zaghi2023_iPSC
-48.466245660714804	-25.350805062570664	7.719075653161083	7.0136273539402225	21.63116598316248	-25.028806622879497	Ballerino2022_NES_Stem-like cells	Stem-like cells	Ballerino2022_NES
-45.86185931401301	-14.655755049228524	-8.05245459182795	-18.169379577324005	34.60153182499357	14.864982792539285	Ballerino2022_NPC_Stem-like cells	Stem-like cells	Ballerino2022_NPC
-6.271310379742373	-48.881412040078516	-20.023412903368826	-29.020522401101573	-19.365304068782677	-8.682069072248279	Rajarajan_NPC_5kb_Stem-like cells	Stem-like cells	Rajarajan_NPC
-52.749632035111496	-10.807444592723689	-14.773682929538822	41.97484823129318	-16.798728949722378	-19.236988865450286	Zaghi2023_NPC_5kb_Stem-like cells	Stem-like cells	Zaghi2023_NPC
