PC1	PC2	PC3	PC4	PC5	PC6	sample	group	sample_simple
-41.66872038312716	14.085809952550505	-1.7735305790119573	2.6051308939639655	27.09628847911768	46.45033364396517	Heffel_2T_Fetal neurons	Fetal neurons	Heffel_2T_Fetal neurons
-55.22319115191166	32.14529048768636	3.6943385053489664	-9.96899527094755	-6.348554074132642	-8.06394564851842	Heffel_3T_Fetal neurons	Fetal neurons	Heffel_3T_Fetal neurons
-32.71572193027866	63.82439846317864	9.523048836974654	-10.739836923135732	-12.188847315215716	-25.631039054485157	Heffel_infant_Fetal neurons	Fetal neurons	Heffel_infant_Fetal neurons
-62.81314785644941	-34.83376619853931	9.660694058554585	-0.7814932063217429	6.567443874495546	12.87789819438691	Rahman2023_FetalBrain_Fetal neurons	Fetal neurons	Rahman2023_FetalBrain
37.447815785640685	-6.3628805415815535	-8.881011225645226	-17.46881144863798	-19.5746721613065	-9.935289571697359	Ballerino2022_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Ballerino2022_iPSC
-18.53883203648143	-63.72745908513973	16.836061719306457	-27.60088442519437	-20.520011710585358	-7.792476947535814	Our_data_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Our
-8.60680033881746	-9.89595329306358	-23.749980013823823	61.46988567578905	-32.029366166468	0.07186559701964806	Li2022_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Li2022
28.874439668656535	-6.318705327505429	-10.545622453140663	1.703544422781927	10.410145237954337	-22.935859686754245	Rajarajan_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Rajarajan_iPSC
17.781242198950597	-13.354961137178647	-28.426385407809793	5.613984537064778	51.87106080181159	-26.882053322883728	Rahman2023_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Rahman2023_iPSC
67.91002058988744	8.01032906375131	69.25357799840016	18.372760595695905	8.882826072152826	7.2453527904326736	Wu2021_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Wu2021
67.55289545393038	16.42789761584151	-35.59119143915342	-23.205284851058362	-14.166313037823672	34.59521400607037	Zaghi2023_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Zaghi2023_iPSC
