PC1	PC2	PC3	PC4	PC5	PC6	sample	group	sample_simple
-47.46701686515526	-50.14227391232159	-11.471287181051355	5.091661945485998	5.948828483621791	9.953244294227886	Heffel_adult_Post-mortem neurons	Post-mortem neurons	Heffel_adult_Post-mortem neurons
-56.111525118052455	-0.896082787564827	7.494591730456032	-12.11391963430848	-5.150632166787693	-13.111884659814194	Hu2021_NeuNplus_Post-mortem neurons	Post-mortem neurons	Hu2021
-44.87563847356211	-7.923300965666332	6.84761388514017	-15.953065311886272	-3.328458792881539	4.483957545355373	Pletenev2024_NeuNplus_Post-mortem neurons	Post-mortem neurons	Pletenev2024
-55.09664557065908	25.06169504782308	12.607077406177938	7.315362212142553	-7.604858806766882	-13.932342087489717	Rahman2023_NeuNplus_Post-mortem neurons	Post-mortem neurons	Rahman2023
-47.74876504896116	-27.96500871163501	-10.392579816417237	3.917229806121214	9.248947273453041	7.006474324894283	Tian2023_NeuNplus_Post-mortem neurons	Post-mortem neurons	Tian2023
42.23998344981386	1.946650797903418	-4.621739187210459	-18.873007307332166	-10.346822057290161	47.531527914412045	Ballerino2022_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Ballerino2022_iPSC
5.122772509661647	71.54042284777553	27.421028443024078	-28.19965447362757	-6.340178096567175	-3.116973268215925	Our_data_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Our
10.377840904149204	35.069548168608165	-29.67836549253007	57.70941530360718	-29.39080702255342	1.8554782036391284	Li2022_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Li2022
36.585152239151995	6.441375885304645	-9.108234780587875	1.3330137648297096	21.44850560895115	21.686291502467775	Rajarajan_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Rajarajan_iPSC
33.4562879305537	18.30510180956769	-26.295958441119158	2.679407284157333	56.498230938200244	-22.15868030136231	Rahman2023_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Rahman2023_iPSC
58.41893912546657	-37.33092831464191	69.4791974302639	25.495693994560696	2.5182749658953383	-8.769192834177561	Wu2021_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Wu2021
65.09861491759266	-34.107199865152886	-32.28134399614593	-28.402137583750044	-33.50103032727475	-31.427900633936726	Zaghi2023_iPSC_NeuNplus_iPSC-derived neurons	iPSC-derived neurons	Zaghi2023_iPSC
