Author,sample_simple,GEO ID,Organism,Nuclei collection protocol,Hi-C protocol,Celltype,Duration of differentiation (days),Paper link,Link to dataset,Protocol label,Restriction Enzyme,Intended subtypes (Mixed),General label,Intended subtypes,Brain region,Original type,doi
Zagirova,Our data,GSE291967,Homo sapiens,"iPSC line IPSRG4S was maintained in mTeSR1 (Stemcell Technologies) or GibriS-8 (PanEco) media according to the manufacturer’s instructions. Generation of the IPSRG4S cell line was previously described in78,79. Matrigel™ substrate (BD Biosciences) was used to coat the culture plates. Matrigel-coated culture dishes and plates were prepared according to the manufacturer's instructions. Cells were passaged using 0.05% trypsin (Gibco). ROCK inhibitor Y27632 (Stemgent) was added to the culture medium at a concentration of 5 μM for 1 day after seeding. iPSCs were detached with trypsin and plated at a density of 40,000 cells/cm2  in mTeSR1 or GibriS-8 medium in the presence of 5 μM of ROCK inhibitor. At cell confluency, the mTeSR1 (GibriS-8) medium was replaced by the neural differentiation medium. The cells were cultured for 14 days, with the medium changed every other day. The resulting neural progenitors were detached with Versene solution (PanEco) by incubating the cells for 10 min in a CO₂ incubator at 37 °C. The cells were then centrifuged for 5 min at 250× g and washed with DMEM/F12 medium. The cells were plated at a density of 250,000–400,000 cells/cm² in cell culture-treated dishes coated with Matrigel and cultured in neuronal progenitor medium for 10 days. The medium was changed every other day. The resulting neuronal progenitors were detached with the Versene solution as described above. Then the cells were again plated at a density of 250,000–400,000 cells/cm² in cell culture-treated dishes coated with Matrigel and cultured for 7 days in NB maturation medium. The medium was changed every other day. After this stage, the cells could no longer be reseeded. The cells were cultured in NBA maturation medium for at least 2 weeks. ","Preparation of bulk Hi-C libraries from 11 samples of human brain tissue was performed as previously described (Lieberman-Aiden et al. 2009; Ulianov et al. 2016) with optimal changes to brain tissue (Eremenko et al. 2021). Approximately 200,000-400,000 sorted nuclei for the sample were lysed in a solution of lysis buffer containing 150 mM Tris-HCI pH7.5-8, 150 mM NaCI, 0.5% (v/v) NP-40, 1% (v/v), Triton-X100, 1x Protease Inhibitor (CALBIOCHEM, #539137) on ice for 15 min, centrifuged at +4 °C 5000g for 7 min, the pellet was resuspended and washed in 1.12Х restriction enzyme DPN II buffer. After the final wash, the pellet suspension in 1.12Х DPN II buffer with added 0.3% SDS has incubated for 60 min 1400 rpm at +37°C. Further, the reaction was quenched with 1.8% Triton X-100 for 60 min at 1400 rpm at +37°C, and the 500U DPN II restriction enzyme was added, the suspension was left overnight at 1400 rpm at +37°C. After that, the additional amount of 200U DPN II restriction enzyme was added to the digested nuclei and incubated for the next 120 min at 1400 rpm at +37°C. After that, the restriction was unactivated at +65°C for 20 min. The digested DNA samples were washed and resuspended in 1.2XNEB2, and after that digested ends were marked with biotin during the incubation in the mix of 1М biotin-14dATP, 10x NEB2, 10mM dCTP, 10mM dGTP, 10mM dTTP, 5U/ul Klenow (NEB #M0210S) for 90 min 900 rpm at +37 °C. The resulting blunt ends were washed with 1X T4 DNA ligase buffer and chromatin fragments were proximally ligated with 50 U T4 DNA ligase (Fermentas) for 6 h 1400 rpm at +37 °C. Then the 0.5% SDS with 20 μg/ml proteinase K was added to samples for overnight incubation at +65 °C. The following step was DNA purification with phenol–chloroform extraction and precipitation with 2.5 volumes of 96% ethanol, 0.1 volumes of 3M sodium acetate, 20 μg/ml glycogen, and 9.4 μg/ml tRNA for 60 min at −80 °C. After the centrifugation step at 20000g for 20 min, +4°C the pellet was dissolved in 10 mM Tris-HCl pH 8.0 with the addition of RNase A and incubated for 45 min at +37°C. The next step was DNA sample purification on 2.5 volumes of magnetic AMPure XP beads with the following DNA elution in 10 mM Tris-HCl for 15 min at +55°C. Eluted DNA was fragmented by sonication with Power 15 regime, 4 repeats for 30 s with 3 min break. Sonicated DNA samples were then concentrated on Amicon columns 14000g/5 min with double 10 10 mM Tris-HCl pH 8.0 washing. The resulting biotin-marked fragments were isolated using Dynabeads MyOne Streptavidin C1 (Invitrogen #65001) and diluted in TWB buffer (1M Tris-HCl pH 8.0, 50 mM EDTA, 5M NaCl, 1% Tween). All subsequent steps were performed on that bead-bound DNA fraction including DNA ends repair with repair mix (10Х ligase NEB buffer, 10 mM dNTP mix, T4 DNA Pol, T4 PNK, 1 ul Klenow) for 30 min at room temperature, and PolyA tail adding reaction with a mix containing 10Х NEB2, 10 mМ dATP, Klenow (exo-) and incubation for 30 min at +37°C and then for 20 min at +65°C. Then beads were washed with 1X T4 ligase buffer for 3 min at room temperature 900 rpm, and the ligation reaction was performed with a ligation mix of 10X T4 ligase buffer, adapter, 5 U T4 ligase (Fermentas) for 2.5 h at room temperature. Finally, libraries were PCR amplified using Illumina forward and reverse primers and KAPA HiFi HotStart for 16 cycles to select the appropriate cycle for amplified DNA fragments collection (the 6, 9, 12, and 15 cycles were collected and checked for DNA quantity on chosen cycle). Last, up to the chosen number of cycles Hi-C libraries were PCR amplified, and resulting fragments were purified using 1.5 volumes AMPure XP magnetic beads.",iPSC-derived neurons,50,-,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291967,In situ Hi-C,DpnII,"mix, cortical",Mix,Mix,Cortical,,
Rajarajan,Rajarajan,PsychEncode,Homo sapiens,"NPCs were derived from human iPSCs, as described(17). Briefly, hiPSCs reprogrammed from two independent controls (Subjects S1 and S2) fibroblasts were cultured as embryoid bodies and maintained in suspension in N2 medium (Invitrogen) for 7 days. They were then plated onto polyornithine/laminin-coated plates and visible rosettes were manually dissected after 1 week and cultured in NPC medium (17). NPCs were maintained at high density on Matrigel (BD Biosciences) and split approximately 1:4 once a week with Accutase (Millipore). In our hands, doubling time of hiPSC-derived forebrain NPCs is 3.69±0.05 days, with the percentage of cells in G1 cell cycle phase is 62.3 ± 0.2%, in S phase is 24.6±0.1% and G2 phase is 6.5 ± 0.03% (29). NPCs were further differentiated along the glial lineage as previously described (15). Briefly, NPCs described above were seeded at a density of 15,000 cells/cm2 on Matrigel-coated plates in astrocyte medium (ScienCell). Cells were split at 95% confluency, approximately every 6-7 days, to the initial seeding density with Accutase (Millipore). After 30 days of differentiation, glia were used in assays or were maintained in astrocyte medium (with 2% FBS), splitting 1:3 every week with Accutase. To arrive at hiPSC-neurons via Neurogenin2 induction as previously described (14), NPCs were seeded at low density on Matrigel-coated plates and transduced with lentiviral constructs to overexpress NGN2, driven by a TetO promoter, in NPC-medium. Doxycycline (Sigma, #D9891) was added in NPC medium to activate the system and puromycin (Sigma, #P7255) was introduced for selection. 2 days after doxycycline addition, puromycin is withdrawn and NPC medium was switched to neuron medium (14). Cells were maintained with regular half-medium changes until day 20 after first doxycycline addition. At this point, neurons were ready to be used for assays. In our hands, as described, combining puromycin induction and Ara-C treatment to block proliferation of dividing cells results in pure or near-pure (approaching 99-100% homogeneity by cell type) populations of postmitotic excitatory (glutamatergic) neurons, with other cell types undetectable in the culture (14). For forebrain neuronal differentiation, as previously described(17), for S1, NPCs were seeded at low density and cultured in neural differentiation medium (DMEM/F12, 1xN2, 1xB27-RA, 20 ng ml−1 BDNF (Peprotech), 20 ng ml−1 GDNF (Peprotech), 1mM dibutyryl-cyclic AMP (Sigma), 200nM ascorbic acid (Sigma) and 1 μgml−1 laminin (ThermoFisher Scientific) 1–2 days later. Cells were maintained in differentiation medium for 7.5 weeks before harvesting. Note that forebrain differentiated cultures reflect the dual lineage potential of the NPC, and therefore contain a neural population of βIII-TUBULIN-positive neurons, which comprise 70-80% of all cells in the culture. Another 20-30% of cells in culture are glial fibrillary acidic protein (GFAP)-positive astrocytes. In addition, while the majority of forebrain hiPSC neurons express the glutamatergic marker VGLUT1, another (approximately 30%) subset of neurons expresses the GAD67 GABAergic marker gene (56)",-,iPSC-derived neurons,37,https://www.science.org/doi/10.1126/science.aat4311 ,https://www.synapse.org/Synapse:syn12979149,In situ Hi-C,MboI ,glutamatergic,Excitatory,Glutamatergic,Uknonwn,Fibtoblasts,https://www.synapse.org/Synapse:syn12979149
Rahman,Rahman,PsychEncode,Homo sapiens,"50 mg of frozen brain tissue was homogenized in chilled lysis buffer (0.32 M Sucrose, 5 mM CaCl2, 3 mM magnesium acetate, 0.1 mM, EDTA, 10 mM Tris–HCl, pH 8, 1 mM DTT, 0.1% Triton X-100) and filtered through a 40 μm cell strainer. Filtered lysate was then underlaid with sucrose solution (1.8 M Sucrose, 3 mM Mg(CH3COO)2, 1 mM DTT, 10 mM Tris–HCl, pH 8) and subjected to ultracentrifugation at 107 000 × g for 1 h at 4°C. Pellets were resuspended in 500 μl DPBS containing 0.1% BSA. For non-fetal tissue, anti-NeuN antibody (1:1000, Alexa488 conjugated, Millipore, Cat# MAB377X) was added and samples incubated, in the dark, for 1 h at 4°C. Prior to FANS sorting, DAPI (Thermoscientific) was added to a final concentration of 1 μg/ml. DAPI positive neuronal (NeuN+) and non-neuronal/glial (NeuN-) nuclei were isolated using a FACSAria flow cytometer with FACSDiva Version 8.0.1 software (BD Biosciences). In the case of fetal tissue, where NeuN is not expressed, nuclei were isolated using DAPI staining only.",-,iPSC-derived neurons,,https://academic.oup.com/nar/article/51/20/11142/7301278 ,,In situ Hi-C,MboI ,,Uknonwn,Uknonwn,Uknonwn,Fibroblasts,https://doi.org/10.7303/syn26148119
Lu,Lu,GSE115407,Homo sapiens,"Fibroblasts were grown in DMEM medium supplemented with 10% FBS (Hyclone), Glutamax (Thermo Fisher Scientific) and NEAA (Thermo Fisher Scientific) and subcultured at a ratio of 1:3 when they reach 90% confluence. H1 cells were cultured on the hESC-qualified Matrigel (Corning, #354277) coated plates in mTeSR1 medium (StemCell Technologies, #05850). iPS cells were cultured on Matrigel with a daily change of E8 medium and passaged by collagenase. To generate iPSC-derived NPCs, detached iPSC colonies were suspended in embryoid body (EB) medium (DMEM:F12 with 20% KOSR, 2?M dorsomorphin and 2 ?M A 83-01) for 7 days. Floating EBs were attached on Matrigel and cultured in NPC medium (DMEM/F12, N2 supplement, NEAA and 2 uM cyclopamine). After 14 days, neural tube-like rosettes were mechanically picked and dissociated into single NPCs by Accutase. NPCs were maintained as monolayer in NPC medium with medium change every two days. For neuronal differentiation, NPCs were plated on Matrigel and cultured in Neurobasal medium supplemented with 2%B27, 2 mM L-glutamine, 10 ng/ml BDNF and 10 ng/ml GDNF.","In this study, low-input eHi-C libraries were prepared in two settings. In the first scenario (“aliquot” setting), we started with 1 million IMR90 cells and go through the protocol described below and usually resulted in ∼250-500ng DNA for library preparation (Figure 1A). 10% or 20% of these DNA were used to generate library (0.1 or 0.2 million cells per library). In the second scenario (“mini” setting), we started the experiments with lysing 0.1 or 0.2 million cells following the same protocol as described below, except that all steps before library preparation were performed in 25% volume. Because the cell lysis and HindIII digestion conditions are different from the published in situ Hi-C protocol. We have made modifications in order to ensure nuclei integrity during ligation.
Cell lysis, HindIII digestion, and in situ ligation. Cell pellet from ∼1 million cells was lysed in 1ml cell lysis buffer (10mM Tris-Cl, pH7.5, 10mM NaCl, 0.2% NP-40, 1X proteinase inhibitor cocktail (Roche, #118735800001)) before incubating on ice for 15 min. If there is cell clump in the tube, we dounce the cells for 10 times every cycle for 3 cycles, with one-minute on ice between each cycle. After douncing, the nuclei were put on ice for another 5 min and then pelleted by centrifuging (2,500 g for 5 min at 4°C). The pellets were washed once in 1X Cutsmart buffer (NEB) before resuspended in 360ul 1X Cutsmart buffer. After resuspension, 40ul of 1% SDS were added (final 0.1%), and the tubes were incubated at 65°C for 10 min. To quench the SDS, 44ul of 10% Triton X-100 (final 1%) was then added to each tube. For chromatin digestion, 400U HindIII (NEB, #R3104M 100U/μl) were added to each tube followed by incubation at 37°C for 4 h. To ensure efficient digestion, another 400U of HindIII were added to each tube again for overnight digestion. On day 2, we digested the nuclei for another 4 h by adding fresh HindIII enzyme (400U). After digestion, the enzyme was inactivated by adding 40ul of 10% SDS (final 1%) to each tube and incubation at 65°C for 20 min. The digested products were then transferred to a new 15ml tube and mixed with 3.06ml 1.15X ligation buffer (75.9mM Tris-HCl, ph7.5, 5.75mM DTT, 5.75mM MgCl2 and 1.15mM ATP). 187ul 20% Triton X-100 was added to the mixture and incubated at 37°C for 1 h. For ligation, the products were then mixed with 30ul of T4 DNA ligase (Invitrogen, #15224-025, 1U/ul) and incubated at 16°C overnight. After ligation, the tubes were put at room temperature for 30 min and the nuclei were pelleted by centrifuging at 2,500 g for 5 min. The supernatant was discarded to remove the free DNA and only the nuclei pellets were kept. The nuclei pellet step is skipped in the “dilute” libraries in Table S1. The nuclei pellets were then resuspended in 3.06ml of 1.15X ligation buffer and mixed with 40ul of 10% SDS and 187ul of 20% Triton X-100 for nuclear lysis.
Reverse crosslinking, DpnII digestion and self-ligation. After nuclear lysis, the mixture was then reverse crosslinked at 65°C overnight after adding 25ul of 20mg/mL proteinase K. DNA were purified with Phenol: Chloroform: Isoamyl Alcohol (25:24:1) (Affymetrix, #UN2922) following standard protocol. ∼2-3μg DNA are expected from 1M cells. The DNA was then digested with 50U DpnII (NEB, #R0543L, 10U/μL) in a total volume of 100uL at 37°C for 2 h. After digestion, the enzyme was heat inactivated at 65°C for 25 min. The mixture was first incubated with 0.5 volume of PCRClean DX beads (Aline Biosciences) at room temperature for 10 min before harvesting the supernatant according to vendor’s protocol. The supernatant was then incubated with 2 volumes of PCRClean DX beads at room temperature for 10 min. DNA on the beads was then harvested in 300ul nuclease free water. The two-step bead purification results in DNA with a size range ∼100-1,000bp. The DNA products were then mixed with 200ul of 5X ligation buffer, 5U T4 DNA ligase (Invitrogen, #15224-025, 1U/ul) and water to a total volume of 1ml. Self-ligation was done by incubating the tubes at 16°C overnight.
Exonuclease digestion and DNA circle re-linearization. The self-ligated DNA were purified again with Phenol: Chloroform: Isoamyl alcohol and digested with 6U of lambda exonuclease (NEB, #M0262S) in 200μL volume at 37°C for 30 min. The exonuclease was then inactivated by incubating at 65°C for 20 min. Resulting DNA were purified with 2 volumes of PCRClean DX beads as described above. For DNA circle re-linearization, bead bound DNA were eluted and digested with 20U HindIII again at 37°C for 2 h in 150μL volume. The HindIII enzyme was inactivated at 65°C for 20 min, and the DNA was purified with 2 volume PCRClean DX beads for another time as described above. In the end, bead-bound DNA was eluted in 50ul nuclease free water. From 1M cells, we expect 250-500ng DNA in the end.",iPSC-derived neurons,19,https://www.cell.com/molecular-cell/fulltext/S1097-2765(20)30392-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276520303920%3Fshowall%3Dtrue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115407,eHi-C,HindIII ,"mix, glutamatergic ","Mix, mostly excitatory",Glutamatergic,Cortical,,doi: 10.1016/j.molcel.2020.06.007.
Zaghi,Zaghi,GSE212252,Homo sapiens,"NPCs were derived using an optimized protocol previously published83. iPSCs were dissociated in cell clusters using Accutase solution (Sigma-Aldrich) and seeded onto low-adhesion plates in mTeSR1 supplemented with 0.5X N2 supplement (ThermoFisher Scientific), Pen/Strept (1%, Sigma-Aldrich), human Noggin (0.5 µg/ml, R&D System), SB431542 (5 µM, Sigma-Aldrich) and ROCK inhibitor Y27632 (10 µM). Medium was replaced every 3 days. After 10 days, embryoid bodies were seeded onto matrigel-coated plates (1:100, Matrigel growth factor reduced, Corning) in DMEM/F12 (SigmaAldrich) supplemented with 1X N2 supplement, non-essential amino acids (1%, MEM NEAA, ThermoFisher Scientific) and 1% Pen/Strept. Medium was replaced every other day. After 10 days, rosettes were dissociated with Accutase solution and NPCs (P0) were plated onto matrigel-coated flasks in NPC media containing DMEM/F12, 0.5X N2, 0.5X B27 supplement (ThermoFisher Scientific), Pen/Strept (1%) and bFGF (20 ng/ml, ThermoFisher Scientific). NPCs were passaged twice a week using Accutase solution; experiments were performed with NPCs between P3 and P10.
Neuronal differentiation from NPCs
NPCs were derived as previously described39, Briefly, at day 0 medium was replaced with differentiation medium composed by NPC medium without bFGF, supplemented with SU5402 (Sigma-Aldrich, 10 µM), PD0325901 (Sigma-Aldrich, 8 µM) and DAPT (Sigma-Aldrich, 10 µM). Differentiation medium was replaced every day with fresh one at day 1 and 2. At day 3 cells were detached by Accutase solution and incubated at 37 °C for 20 min to obtain a single cell suspension.
Cells were centrifuged (0.5 g, 5’), counted and seeded at a density of 55,000 cells/cm2 onto PolyL-Lysine/Laminin/Fibronectin (Sigma-Aldrich, 100 µg/ml, 2 µg/ml, 2 µg/ml) coated plates or coverslip in neuronal maturation medium supplemented with ROCK inhibitor Y27632 (10uM) for the first 24 h. Neuronal maturation medium was composed by Neurobasal A (ThermoFisher Scientific) supplemented with 1X B-27 supplement, 2 mM Glutamine, 1% Pen/Strept, BDNF (Peprotech, 20 ng/ml), Ascorbic acid (Sigma-Aldrich, 100 nM), Laminin (Sigma-Aldrich, 1 µg/µl), DAPT (Sigma-Aldrich, 10 µM), dbcAMP (Selleckchem, 250 µM). Culture medium was replaced the next day to remove ROCK inhibitor, and then half of the medium was replaced with fresh Neuronal maturation medium twice a week.
Direct neuronal differentiation from iPSCs
At the start of differentiation protocol cells were infected (at differentiation day −2) using the LVTetOn-Neurog2-T2A-PuroR and LV-Ef1a-tTa vectors58 in mTeSR1 medium supplemented with Doxycycline (2 µg/ml), overnight. The following day, cell medium was changed with fresh mTeSR1 medium supplemented with antibiotic selection (Puromycin 1 µg/ml) and Doxycycline; Doxycycline was kept for all the experiment. At day 0 medium was exchanged with differentiation medium “mTeSR1 + LSBX”. Differentiation medium was replaced daily according to the following scheme:
Day 0,1: mTeSR1 + LSBX
Day 2,3: mTeSR1 + LSBX + PSD
Day 4,5: 2/3 mTeSR1 + 1/3 N2 medium + LSX + PSD
Day 6,7: 1/3 mTeSR1 + 2/3 N2 medium + PSD
At day 6 cells were detached by Accutase solution (Sigma-Aldrich) and incubated at 37 °C for 20 min to obtain a single cell suspension. Cells were centrifuged, counted and seeded at a density of 55000 cells/cm2 onto Poly-L-Lysine/Laminin/Fibronectin (all from Sigma-Aldrich, 100 µg/ml, 2 µg/ml, 2 µg/ml) coated plates or coverslip in neuronal maturation medium supplemented with ROCK inhibitor Y27632 (10 uM) for the first 24 h. Neuronal maturation medium was the same used for NPC-derived neuronal cultures. Cells were routinely cultured in neuronal maturation medium for the duration of the rest of the experimental protocol.
LSBX: LDN193189 (Stemgent, 250 nm), SB431542 (Sigma-Aldrich, 10 µM) XAV939 (SigmaAldrich, 5 µM). PSD: PD0325901 (8 µM), SU5402 (10 µM), DAPT (10 µM). N2 medium: DMEM/F12 with B27 supplement (0.5X) and N2 supplement (0.5X).

","For in situ Hi-C libraries preparation, 5 millions of either NPCs or neurons, were used per each replicate. The experimental protocol followed Arima HiC kit (A410030) user instructions with minor modifications53. Briefly: adherent cells were crosslinked with formaldehyde at 1% concentration at room temperature for 10 min. Digestion was performed with the provided enzyme-mix within intact permeabilized nuclei. For each generated Hi-C library, a minimum of 630 ng up to 2 ug of library were sonicated by Covaris E220 ultrasonicator at the following conditions: 10% Duty factor, 200 cycle, 140 peak, 63 s. Biotin-enriched fragments were size-selected with an average size of 400 bp and subjected to end-repaired with the NEB Next Ultra-II kit (E7645L) and tagged with different Illumina DNA adapters. Libraries were amplified with 6 or 7 cycles following KAPA HyperPrep PCR conditions (07962347001) and verified by q-PCR with KAPA-Q-PCR reagents (07960140001). A first sequencing run of 5 million reads was performed to verify the experimental quality. After passing the quality check, samples were paired-end sequenced on the NovaSeq6000 platform.",iPSC-derived neurons,27,https://www.nature.com/articles/s41467-023-39043-x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212252,Arima-HiC (in situ),Arima-HiC,,"Mix, mostly excitatory",Uknonwn,Uknonwn,,doi: 10.1038/s41467-023-39043-x.
Ballarino,Ballarino,PRJNA798046,Homo sapiens,"We obtained a human, induced pluripotent stem cell (iPSC)-derived, long-term self-renewing NES cell line (AF22) from the human iPS core facility at Karolinska Institutet, where it was previously derived under ethical permit #2012/208-31/3 issued by the local Ethics Review Committee. We cultured these cells following a protocol previously established at the same facility15. Briefly, we expanded the cells for up to 12 passages in flasks coated with 0.01% Poly-L-Ornithine (Sigma-Aldrich) and 2 μg/mL L2020 laminin (Sigma-Aldrich). We grew the cells in DMEM-F/12 medium (Thermo Fisher Scientific) supplemented with 1% N2 supplement (Thermo Fisher Scientific) and 0.1% B27 supplement minus Vitamin A (Thermo Fisher Scientific), 10 ng/mL Epidermal Growth Factor (EGF) (Thermo Fisher Scientific), 10 ng/mL basic Fibroblast Growth Factor (bFGF2) (Thermo Fisher Scientific), and 1% Penicillin/Streptomycin (Thermo Fisher Scientific). We hereafter refer to this medium as NES medium. For passaging, we gently detached the cells from the flasks using TrypLE Express Enzyme (Thermo Fisher Scientific) and inactivated the enzyme after 2 min by adding 0.5 mg/mL Soybean Trypsin Inhibitor (Thermo Fisher Scientific) to the TrypLE solution. We then resuspended the cells in 0.1% human recombinant Albumin (Sigma Aldrich) in DMEM-F/12 medium (Thermo Fisher Scientific) before centrifuging them at 150 × g for 3 min. To keep NES cells in a multipotent state, we resuspend them gently in NES medium, always aiming at keeping their density in the flasks between 30,000 and 250,000 cells/cm2 and splitting the content of each flask at 1:3 ratio at each passage. We prepared fresh NES medium weekly and replaced the medium in each flask daily. To differentiate NES towards NEU cells, we plated 78,000/cm2 NES cells resuspended in a differentiation medium composed of DMEM-F/12 medium (Thermo Fisher Scientific) supplemented with 1% N2 supplement (Thermo Fisher Scientific), 1% B27 supplement with Vitamin A (Thermo Fisher Scientific), and 1% Penicillin/Streptomycin (Thermo Fisher Scientific). Hereafter, we refer to this medium as differentiation (DIFF) medium. We prepared fresh DIFF medium every 2 weeks and replaced growth media every second day. As we no longer passaged the differentiating cell cultures, after day 10 we added 1 μg/mL Laminin (Sigma-Aldrich) to the DIFF medium to promote cell attachment to the flask. We monitored cell differentiation daily by using a phase contrast microscope (Axiocam, Zeiss) and performed immunofluorescence staining for various markers of neural cell differentiation, as described below.
","We prepared Hi-C libraries using the Arima-HiC kit (Arima Genomics) following the manufacturer’s instructions. Briefly, we crosslinked the cells with 2% formaldehyde (following the same procedure described above for preparing cells for sBLISS) and then used approximately 1 million fixed cells as input for each cell type. Subsequently, we used 2.5 μg (for NES) or 1.5 μg (for NPC and NEU) of Hi-C template for biotin pull-down and library preparation according to the Arima Genomics User Guide for Library Preparation using KAPA Hyper Prep Kit. Specifically, we used 6 (for NES) or 8 (for NPC and NEU) PCR cycles for library amplification. We then pooled corresponding Arima-HiC replicate libraries and sequenced each pool on one SP flowcell on the NovaSeq 6000 system (Illumina) in paired-end sequencing mode aiming at obtaining ~800 million reads per library. Sequencing was carried out at the National Genomics Infrastructure at the Science for Life Laboratory (SciLifeLab) in Stockholm, Sweden.

After sequencing, we processed the raw sequencing data using HiCUP30 (v0.7.4) with default parameters. Briefly, the pipeline employs Bowtie224 (v2.4.1) to align the reads to the human reference genome (GRCh37/hg19) and filters out experimental artefacts (i.e., circularized, re-ligated, and duplicate reads). We generated ‘digest’ files using the hicup_digester command with the option --arima. We used the HiCUP output files (BAM format) containing only valid, non-redundant read pairs, as input for pairtools (https://pairtools.readthedocs.io/en/latest/, v0.3.0). First, we converted and sorted the BAM files into pairsam format using the parse and sort modules in pairtools. In addition to individual replicates, we generated pooled samples for each cell type (NES, NPC, and NEU) by merging matched replicates using the merge module in pairtools. We marked read duplicates using the pairtools dedup module with option –mark-dups and filtered the results selecting only specific pair types (i.e., ‘UU’, ‘UR’ and ‘RU’) via the pairtools select module, which produced an output in pairs format. Finally, we added the fragment information using the fragment_4dnpairs.pl convenience script provided alongside the Juicer pipeline31, and converted the pairs files into hic format using the Pre module from Juicer-Tools (v1.22.01). Unless explicitly required by the software/package used, we normalized all contact matrices with Knight-Ruiz Matrix Balancing (KR) using Juicer-Tools. For each chromosome, we extracted from the hic files the intra-chromosomal interactions matrix at 1 megabase (Mb) and 100 kb resolution using Straw31 without normalization. We assessed the reproducibility of Hi-C data using the GenomeDISCO32 (v1.0.0) run_all module.",iPSC-derived neurons,35,https://www.nature.com/articles/s41597-022-01508-x#Sec2,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA798046,Arima-HiC (in situ),Arima-HiC,"mix, cortical","Mix, mostly excitatory",Uknonwn,Uknonwn,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA798046
Wu,Wu,GSE167259,Homo sapiens,"For neuronal differentiation, 20-25 million iPSCs were plated on day 0 onto a 15 cm plate in N2 media composed of knockout DMEM/F12 media (Life Technologies Corporation, Cat. No. 12660012) with N2 supplement (Life Technologies Corporation, Cat. No. 17502048), 1x GlutaMAX (Thermofisher Scientific, Cat. No. 35050061), 1x MEM nonessential amino acids (NEAA) (Thermofisher Scientific, Cat. No. 11140050), 10 M ROCK inhibitor (Y-27632; Selleckchem, Cat. No. S1049), and 2 g/mL doxycycline (Clontech, Cat. No. 631311). N2 media was changed once a day for two more days. Day 3 cells were replated onto freshly-prepared poly-L-ornithine- (PLO; 0.1 mg/ml; Sigma, Cat. No. P3655-10MG) coated dishes as follows: Cells were washed with PBS, dissociated with accutase for 10 minutes at 37°C, washed and plated in i3Neuron Culture Media: BrainPhys media (STEMCELL Technologies, Cat. No. 05790) supplemented with 1x B27 Plus Supplement (ThermoFisher Scientific, Cat. No. A3582801), 10 ng/mL BDNF (PeproTech, Cat. No. 450-02), 10 ng/mL NT-3 (PeproTech, Cat. No. 450-03), 1 mg/mL mouse laminin (Sigma, Cat. No. L2020-1MG), and 2 g/mL doxycycline (Clontech, Cat. No. 631311).For 10 cm plates used in SAR-seq or CHIP-seq, 12-15 million neurons were plated. For 15 cm plates 30-45 million neurons were plated. For ibidi slides used in imaging experiments, 0.2 million neurons per well were plated. Unless otherwise noted, i3Neurons were fed on day 6 during a half media change and harvested on day 7. For i3Neurons cultured beyond 7 days, half media changes were conducted three times per week. In some experiments pre-differentiated i3Neurons were frozen on day 3 in 90% fetal bovine serum (Sigma Aldrich, Cat. No. ES-009-B) and 10% DMSO (Mediatech Inc., Cat. No. 25-950-CQC), and then thawed rapidly at 37°C, followed by removal of FBS/DMSO and plating in i3Neuron Culture Media. We did not detect any differences for experiments where day 3 neurons were thawed or plated immediately following differentiation.","In situ Hi-C consists of 7 steps: (1) crosslinking cells with formaldehyde, (2) DNA digestion using MboI, (3) filling in and marking ends with Biotin, (4) proximity ligation, (5) DNA shearing, (6) pulling down the biotinylated ligation junctions with streptavidin beads, and (7) paired end sequencing. As quality control (QC), we confirmed efficient restriction, ligation and DNA shearing with an agarose DNA gel and for appropriate size selection in using Agilent 4200 TapeStation system after steps (5) and (6). For the final QC, we performed 75 paired end sequencing on the Illumina Nextseq to assess quality of the libraries based on percent of Intra-chromosomal reads, long Range (>20Kb) reads, and Library Complexity. The HiC libraries were sequenced on 100 paired end sequencing using Illumina Novaseq 6000.",iPSC-derived neurons,7,https://www.nature.com/articles/s41586-021-03468-5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167259,In situ Hi-C,MboI ,glutamatergic,Excitatory,Glutamatergic,Uknonwn,,doi: 10.1038/s41586-021-03468-5
Li,Li,GSE79965,Homo sapiens,"	iPSC neurons were obtained from Cellular dynamics, and were harvested in post-plate day 14.","Hi-C protocol was based on the original publication by Rao, SS et al. 2014",iPSC-derived neurons,14,no publication,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79965,In situ Hi-C,DpnII/MboI,,"Mix, mostly excitatory",Uknonwn,Uknonwn,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79965
