	Unnamed: 0	tad_file	sample	sample_simple	Group	PC1	PC2	PC3	PC4	PC5	PC6
47	47	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_A46_FI_M1C_IN_29_42_58_years_15res_150wind.csv	A46_FI_M1C_IN_29_42_58_years	Tian (IN, A46)	Post-mortem neurons	245.74135574354017	7.3480677913730466	25.57765813244202	57.180410219855695	-33.97486192523454	196.0692633631469
48	48	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Lagarkova_culture_iPSC_NeuNplus_drop_diag_5kb_15res_150wind.csv	Lagarkova_culture_iPSC_NeuNplus_drop_diag_5kb	Our data	iPSC-derived neurons	-51.55390467912952	-59.07552789724253	165.8177914065688	12.26018145208379	-103.31657851476515	-16.021407235734728
49	49	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_A46_FI_M1C_EN_29_42_58_years_15res_150wind.csv	A46_FI_M1C_EN_29_42_58_years	Tian (EN, A46)	Post-mortem neurons	296.3827736383011	-16.64973460244848	-82.68409774289303	1.6413009823998963	70.36089687724946	-95.946584349184
50	50	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Heffel_infant_15res_150wind.csv	Heffel_infant	Heffel (infant)	Fetal neurons	256.2655178460945	-10.834676115002589	-5.157324655886532	-0.6921455105148182	80.70474783907635	8.94878722297236
51	51	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Ballerino2022_iPSC_NeuNplus_15res_150wind.csv	Ballerino2022_iPSC_NeuNplus	Ballarino	iPSC-derived neurons	-8.195608014646927	29.940984951286467	75.63173866209148	-135.44732168526664	-68.59013732984128	-1.3852013753747427
52	52	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Lu2020_iPSC_5kb_drop_diag_5kb_15res_150wind.csv	Lu2020_iPSC_5kb_drop_diag_5kb	iPSC Lu	iPSC	-144.51292527109896	-190.79307524421455	-13.26832471893483	53.70723577865709	-70.58767898662686	-22.10348225061543
53	53	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Titus_Neuron_drop_diag_5kb_15res_150wind.csv	Titus_Neuron_drop_diag_5kb	Titus	iPSC-derived neurons	20.730931325862954	27.101718450976616	84.61458063303002	-187.60032528987625	5.923291873808572	-9.691823402628524
54	54	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Heffel_adult_15res_150wind.csv	Heffel_adult	Heffel	Post-mortem neurons	250.2559402620941	6.863706337365696	-38.58733300465872	9.567641022013117	85.6932989253635	-36.75505872993642
55	55	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Ballerino2022_NES_5kb_drop_diag_5kb_15res_150wind.csv	Ballerino2022_NES_5kb_drop_diag_5kb	Ballarino	NES	-115.77223072218372	-17.668584115291573	-27.70119695875874	-88.03670801388834	-16.831146359746924	-9.038850029069904
56	56	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Rahman2023_iPSC_NeuNplus_CRISPRi_Scrambled_A_DpnII-HinfI_15res_150wind.csv	Rahman2023_iPSC_NeuNplus_CRISPRi_Scrambled_A_DpnII-HinfI	Rahman	iPSC-derived neurons	-64.80152635962254	8.360795885543851	205.19542390327103	-38.75517557040551	6.611850903579363	-20.26427659348287
57	57	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Wu2021_iPSC_NeuNplus_15res_150wind.csv	Wu2021_iPSC_NeuNplus	Wu	iPSC-derived neurons	-105.11603463343435	17.499955059293708	34.80690793582971	-114.867278284237	41.0437040144548	-11.04688706588866
58	58	/tank/projects/diana_hic/cultures_vs_postmortem/2_tads/tads_borders_layouts/exact_maps/full_insulation_score_Heffel_2T_15res_150wind.csv	Heffel_2T	Heffel (2T)	Fetal neurons	54.25894601064476	-16.279190556617184	242.7090433413379	51.20630749221564	77.06222508528947	15.686055094450593
