	PC1	PC2	PC3	PC4	PC5	PC6	sample	group	sample_simple	simple_group	groups_updated	Group
0	-177.11158789105863	299.3681327105313	-16.40118065711324	-90.73508316586252	22.12599243372589	-17.414132542846264	Chandrasekaran2021_mouse_fresh_mcool_drop_diag	Post-mortem	Chandrasekaran	Post-mortem neurons	Post-mortem neurons	Adult neurons
1	6.475969399837829	-57.39303299769975	-101.29144708628807	51.62071897289562	37.67180126029623	5.37059097278107	Feng_Primary_NSC_mcool	Post-mortem	Feng	Fetal stem-like cells	NSC	NSC
2	292.26142102903054	127.40935756619848	-139.26968186057957	47.217530487963856	25.049392835601523	-55.417164133666674	Filion_ES_5kb_mcool_drop_diag	Culture	Filion	Fetal stem-like cells	ESC	ESC
3	8.61413566857971	88.38030010585496	69.190957457477	114.20937967400629	-10.478283695657252	72.97845413409256	Filion_NPC_5kb_mcool_drop_diag	Post-mortem	Filion	Fetal stem-like cells	ESC-derived NPC	ESC-derived NPC
4	495.1028308313776	109.83303517919762	-3.2028706864462806	-223.11387477577293	-164.0413590859487	-53.19250746305936	Fraser2015_ES_5kb_mcool_drop_diag	Culture	Fraser	Fetal stem-like cells	ESC	ESC
5	344.470886147736	72.33866213492578	205.0387071157081	-155.8611971668319	-26.628498419209663	150.11062738777218	Fraser2015_NPC_5kb_mcool_drop_diag	Culture	Fraser	Fetal stem-like cells	ESC-derived NPC	ESC-derived NPC
6	50.556866441609024	87.72289005083427	259.5660335917369	-22.489724600320464	164.5159321177669	107.1872460255048	Fraser2015_Neuron_5kb_mcool_drop_diag	Post-mortem	Fraser	Fetal ES-derived neurons	ESC-derived neurons	ESC-derived neurons
7	-177.31544495982146	302.7811345747031	-15.857909760844946	-89.07781000841821	22.92054284765964	-17.152282674445804	Jiang_5kb_mcool_drop_diag	Post-mortem	Jiang	Post-mortem neurons	Post-mortem neurons	Adult neurons
8	-41.874329599255454	-75.30107585767553	77.04327144818812	-41.23795414141366	67.094571237864	-81.478478240869	Kiefer_5kb_mcool_drop_diag	Post-mortem	Kiefer	Fetal neurons	Fetal neurons	Fetal neurons
9	-202.0739143036577	132.36961592663687	-90.69472903063868	-37.16581960854813	-5.822726985510861	51.1272268581747	Kryukov_adult_5kb_mcool_drop_diag	Post-mortem	Kriukov (adult)	Post-mortem neurons	Post-mortem neurons	Adult neurons
10	-192.73853801409888	226.3035103436229	-50.74139392231261	-57.04394209385352	9.65308384401027	26.957868469544813	Kryukov_old_5kb_mcool_drop_diag	Post-mortem	Kriukov (old)	Post-mortem neurons	Post-mortem neurons	Adult neurons
11	-194.83350357305977	157.7050484740578	-76.18589729200585	-49.59726521100929	-5.040339716177309	39.8517553191349	Kryukov_young_5kb_mcool_drop_diag	Post-mortem	Kriukov (young)	Post-mortem neurons	Post-mortem neurons	Adult neurons
12	-164.52970672831708	156.38540459856114	-48.884226191491	-58.08594082369365	7.323500766454269	3.0466705181088924	Rocks2022_mouse_freshfrozen_mcool_drop_diag	Post-mortem	Rocks	Post-mortem neurons	Post-mortem neurons	Adult neurons
13	-79.57060204157168	-99.69838021052576	19.17389704788643	17.171688172860677	-108.67245688939424	47.59583457365644	bonev2017_CN_1_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal ES-derived neurons	ESC-derived neurons	ESC-derived neurons
14	-56.452513250696086	-90.59505687234324	19.53346372566938	45.54466761542708	-54.050247925475325	60.17841455212063	bonev2017_CN_2_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal ES-derived neurons	ESC-derived neurons	ESC-derived neurons
15	-99.8332899671193	-115.62838885091604	25.976440061744785	16.816923436488686	-113.546066972885	58.73235851719114	bonev2017_CN_3_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal ES-derived neurons	ESC-derived neurons	ESC-derived neurons
16	-99.06252103094492	-117.34753362329954	41.6791336539244	2.814891451944664	-88.04109036950925	40.062456340900575	bonev2017_CN_4_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal ES-derived neurons	ESC-derived neurons	ESC-derived neurons
17	-82.27357642343539	-149.3545348825873	7.052526768106818	6.683687086333346	-99.8312934301557	46.41725419050083	bonev2017_CN_5_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal ES-derived neurons	ESC-derived neurons	ESC-derived neurons
18	-73.34283833047252	-139.67065210990876	5.307205267876599	3.035960731274824	-104.97518155681516	37.97252381312734	bonev2017_CN_6_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal ES-derived neurons	ESC-derived neurons	ESC-derived neurons
19	178.81129894708724	-3.2906153431635863	-207.4195460087678	40.75382050513346	38.8044929702964	-14.32767876558709	bonev2017_ES_1_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal stem-like cells	ESC	ESC
20	167.765724188042	13.221403556995943	-185.8180652545571	40.95465011090997	24.52649295663858	-6.977311604567775	bonev2017_ES_2_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal stem-like cells	ESC	ESC
21	117.14232609724776	-56.80950079561131	-214.5711967454394	31.56197589003879	24.410881721089545	7.821178527882076	bonev2017_ES_3_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal stem-like cells	ESC	ESC
22	7.448389551334557	-44.22036501393058	-42.91460222935276	70.63667265513286	-1.5190654707734916	100.09043022468548	bonev2017_NPC_1_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal stem-like cells	ESC-derived NPC	ESC-derived NPC
23	-23.0208435919442	-135.7147933452009	-37.14585209758135	52.33774016714349	46.24134754238891	105.66286892393867	bonev2017_NPC_2_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal stem-like cells	ESC-derived NPC	ESC-derived NPC
24	18.258600765174823	-78.36299840417246	15.076358082531424	46.74657445590026	40.688760883963845	93.03191500284862	bonev2017_NPC_3_in_vitro_mm10_mapq_30	Culture	Bonev	Fetal stem-like cells	ESC-derived NPC	ESC-derived NPC
25	26.43292499138249	-156.9329582410309	-35.44478925262053	15.19535111512742	45.4222831707934	82.34803467675611	bonev2017_NPC_4_remake_mm10_mapq_30	Post-mortem	Bonev	Fetal stem-like cells	ESC-derived NPC	ESC-derived NPC
26	-92.98300537968336	-21.103400415691084	102.77620863441008	-18.68968280824561	-17.55608191699744	-149.51490100731883	bonev2017_ncx_CN_1_mm10_mapq_30	Fetal neurons	Bonev	Fetal neurons	Fetal neurons	Fetal neurons
27	-84.96835611083627	-107.82024911806084	31.616303655636447	-31.93700315408712	-69.25786847707938	-119.42463586241864	bonev2017_ncx_CN_2_mm10_mapq_30	Fetal neurons	Bonev	Fetal neurons	Fetal neurons	Fetal neurons
28	-90.75429537700566	-119.20807457250208	17.006750532390864	-37.93186496392314	-70.4944375660913	-122.49057350819564	bonev2017_ncx_CN_3_mm10_mapq_30	Fetal neurons	Bonev	Fetal neurons	Fetal neurons	Fetal neurons
29	-80.0696533527033	-114.16118760646728	60.52173855193488	-55.297451920470216	-50.80055726003167	-142.24193534148566	bonev2017_ncx_CN_4_mm10_mapq_30	Fetal neurons	Bonev	Fetal neurons	Fetal neurons	Fetal neurons
30	24.296322916975257	-59.96310095319621	62.30198421006519	6.667675448675053	137.69195376750824	-74.42734305064994	bonev2017_ncx_NPC_1_mm10_mapq_30	Fetal neurons	Bonev	Fetal NPC	Fetal NPC	Fetal NPC
31	52.78628375368377	-111.11829751871323	22.30587074037508	-14.735679254647644	106.99779613802868	-60.57702192124652	bonev2017_ncx_NPC_2_mm10_mapq_30	Fetal neurons	Bonev	Fetal NPC	Fetal NPC	Fetal NPC
32	48.740263768685175	-103.09145060181436	26.87032887209037	-10.37576599542952	114.57577107629844	-62.0066598136287	bonev2017_ncx_NPC_3_mm10_mapq_30	Fetal neurons	Bonev	Fetal NPC	Fetal NPC	Fetal NPC
33	31.137765946778547	-119.16602861136484	41.30980951087084	-11.262920909880888	148.65630992781948	-67.3840123395464	bonev2017_ncx_NPC_4_mm10_mapq_30	Fetal neurons	Bonev	Fetal NPC	Fetal NPC	Fetal NPC
